trial_id,frame_id,event_type,unix_time,unity_time,object_label,expected_class_id,expected_class_name,yolo_available,detected_class_id,detected_class_name,confidence,class_match,roi_source,anchor_label,n_raw,n_filtered,voxel_size_m,pose_mode,shape,stability,center_cam_x,center_cam_y,center_cam_z,center_world_x,center_world_y,center_world_z,right_x,right_y,right_z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,extent_x,extent_y,extent_z,geo_conf,orient_conf,track_conf,overall_conf,t_detect_ms,t_cloud_ms,t_pose_ms,t_export_ms,t_e2e_ms,replacement_enabled,model_name,ply_path,success,fail_reason
laptop_20260821_131015,30,capture,1787289026.874,143.566,laptop,63,laptop,1,63,laptop,0.894,1,YOLO ROI,mask center flat,16926,3384,0.0100,SurfaceObject,Elongated,Stable,0.0091,0.0240,0.7508,-0.0365,-0.1617,0.6139,-0.9999,0.0161,0.0000,0.0150,0.9260,-0.3772,-0.0061,-0.3771,-0.9262,1.0901,0.6763,0.5743,1.000,1.000,0.971,0.987,17.07,0.00,0.00,14.42,32.82,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131026.ply,1,
laptop_20260821_131015,31,realtime,1787289027.334,144.017,laptop,63,laptop,1,63,laptop,0.903,1,YOLO ROI,mask center flat,16824,3357,0.0100,SurfaceObject,Elongated,Stable,0.0083,0.0172,0.7399,-0.0369,-0.1615,0.6008,-0.9999,0.0162,0.0000,0.0150,0.9272,-0.3743,-0.0061,-0.3743,-0.9273,1.1017,0.6846,0.5731,1.000,1.000,0.969,0.986,10.33,24.34,0.49,0.00,25.04,1,电脑 (real),,1,
laptop_20260821_131015,32,realtime,1787289027.855,144.533,laptop,63,laptop,1,63,laptop,0.908,1,YOLO ROI,mask center flat,17087,3426,0.0100,SurfaceObject,Elongated,Stable,0.0076,0.0250,0.7571,-0.0360,-0.1609,0.6192,-0.9999,0.0166,0.0000,0.0154,0.9272,-0.3742,-0.0062,-0.3742,-0.9273,1.1023,0.6818,0.5736,1.000,1.000,0.865,0.939,15.45,31.62,0.61,0.00,32.38,1,电脑 (real),,1,
laptop_20260821_131015,33,realtime,1787289028.357,145.033,laptop,63,laptop,1,63,laptop,0.903,1,YOLO ROI,mask center flat,16779,3337,0.0100,SurfaceObject,Elongated,Stable,0.0081,0.0220,0.7481,-0.0365,-0.1600,0.6096,-0.9999,0.0170,0.0000,0.0158,0.9273,-0.3740,-0.0064,-0.3740,-0.9274,1.0966,0.6811,0.5689,1.000,1.000,0.966,0.985,21.71,27.19,0.64,0.00,28.15,1,电脑 (real),,1,
laptop_20260821_131015,34,capture,1787289028.710,145.400,laptop,63,laptop,1,63,laptop,0.903,1,YOLO ROI,mask center flat,16634,3228,0.0100,SurfaceObject,Elongated,Stable,0.0078,0.0219,0.7413,-0.0366,-0.1602,0.6030,-0.9998,0.0180,0.0000,0.0166,0.9259,-0.3773,-0.0068,-0.3772,-0.9261,1.0829,0.6809,0.5724,1.000,1.000,0.983,0.992,21.71,0.00,0.00,14.98,35.81,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131028.ply,1,
laptop_20260821_131015,35,realtime,1787289028.832,145.533,laptop,63,laptop,1,63,laptop,0.899,1,YOLO ROI,mask center flat,16506,3231,0.0100,SurfaceObject,Elongated,Stable,0.0076,0.0240,0.7473,-0.0373,-0.1603,0.6089,-0.9998,0.0176,0.0000,0.0163,0.9261,-0.3770,-0.0066,-0.3770,-0.9262,1.0837,0.6739,0.5605,1.000,1.000,0.981,0.991,9.02,15.52,0.36,0.00,15.97,1,电脑 (real),,1,
laptop_20260821_131015,36,realtime,1787289029.344,146.033,laptop,63,laptop,1,63,laptop,0.912,1,YOLO ROI,mask center flat,16375,3142,0.0100,SurfaceObject,Elongated,Stable,0.0069,0.0231,0.7444,-0.0370,-0.1601,0.6059,-0.9998,0.0183,0.0000,0.0169,0.9259,-0.3774,-0.0069,-0.3773,-0.9260,1.0829,0.6759,0.5643,1.000,1.000,0.796,0.908,9.71,18.13,0.42,0.00,18.74,1,电脑 (real),,1,
laptop_20260821_131015,37,realtime,1787289029.848,146.533,laptop,63,laptop,1,63,laptop,0.915,1,YOLO ROI,mask center flat,16372,3236,0.0100,SurfaceObject,Elongated,Stable,0.0072,0.0178,0.7350,-0.0367,-0.1600,0.5948,-0.9998,0.0187,0.0000,0.0173,0.9266,-0.3755,-0.0070,-0.3755,-0.9268,1.0923,0.6825,0.5544,1.000,1.000,0.858,0.936,15.28,25.33,0.61,0.00,26.07,1,电脑 (real),,1,
laptop_20260821_131015,38,realtime,1787289030.354,147.033,laptop,63,laptop,1,63,laptop,0.896,1,YOLO ROI,mask center flat,17299,3468,0.0100,SurfaceObject,Elongated,Stable,0.0071,0.0294,0.7655,-0.0359,-0.1600,0.6274,-0.9998,0.0188,0.0000,0.0174,0.9269,-0.3748,-0.0071,-0.3747,-0.9271,1.1046,0.6748,0.5791,1.000,1.000,0.892,0.952,17.61,27.12,0.57,0.00,28.36,1,电脑 (real),,1,
laptop_20260821_131015,39,realtime,1787289030.851,147.533,laptop,63,laptop,1,63,laptop,0.897,1,YOLO ROI,mask center flat,16880,3376,0.0100,SurfaceObject,Elongated,Stable,0.0077,0.0218,0.7450,-0.0360,-0.1600,0.6057,-0.9998,0.0176,0.0000,0.0164,0.9268,-0.3753,-0.0066,-0.3753,-0.9269,1.0945,0.6821,0.5662,1.000,1.000,0.915,0.962,13.90,26.44,0.55,0.00,27.11,1,电脑 (real),,1,
laptop_20260821_131015,40,capture,1787289031.081,147.767,laptop,63,laptop,1,63,laptop,0.897,1,YOLO ROI,mask center flat,16881,3399,0.0100,SurfaceObject,Elongated,Stable,0.0069,0.0228,0.7462,-0.0361,-0.1600,0.6071,-0.9998,0.0186,0.0000,0.0173,0.9264,-0.3762,-0.0070,-0.3761,-0.9265,1.0967,0.6756,0.5673,1.000,1.000,0.959,0.982,13.90,0.00,0.00,16.58,38.60,1,电脑 (real),/var/mobile/Containers/Data/Application/3E0B7BD6-BD3D-428C-B868-39476BCA6048/Documents/PointCloud/pointcloud_20260821_131031.ply,1,
laptop_20260821_131015,41,realtime,1787289031.355,148.050,laptop,63,laptop,1,63,laptop,0.908,1,YOLO ROI,mask center flat,16563,3359,0.0100,SurfaceObject,Elongated,Stable,0.0064,0.0258,0.7527,-0.0361,-0.1597,0.6137,-0.9998,0.0178,0.0000,0.0165,0.9264,-0.3762,-0.0067,-0.3761,-0.9265,1.0945,0.6837,0.5614,1.000,1.000,0.932,0.969,11.44,19.70,0.42,0.00,20.31,1,电脑 (real),,1,
laptop_20260821_131015,42,realtime,1787289031.870,148.550,laptop,63,laptop,1,63,laptop,0.890,1,YOLO ROI,mask center flat,17457,3503,0.0100,SurfaceObject,Elongated,Stable,0.0074,0.0325,0.7733,-0.0367,-0.1594,0.6359,-1.0000,0.0095,0.0000,0.0088,0.9276,-0.3734,-0.0035,-0.3734,-0.9277,1.1161,0.6738,0.6013,1.000,1.000,0.908,0.959,15.78,25.86,0.91,0.00,26.99,1,电脑 (real),,1,
laptop_20260821_131015,43,realtime,1787289032.392,149.067,laptop,63,laptop,1,63,laptop,0.907,1,YOLO ROI,mask center flat,16377,3181,0.0100,SurfaceObject,Elongated,Stable,0.0085,0.0234,0.7455,-0.0376,-0.1600,0.6069,-1.0000,0.0098,0.0000,0.0091,0.9265,-0.3761,-0.0037,-0.3761,-0.9266,1.0771,0.6864,0.5696,1.000,1.000,0.929,0.968,19.74,28.54,0.84,0.00,29.79,1,电脑 (real),,1,
